episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
150, -3589.0069353580475, 2, 3.523775346999173, 236, 202643,                                             202643, 32.63115692138672, 596.4146118164062
151, -5141.260433375835, 2, 16.03209395399972, 1066, 203709,                                             203709, 31.979604721069336, 589.768310546875
152, -12648.878145754337, 2, 45.45896915999947, 3063, 206772,                                             206772, 31.423192977905273, 587.6310424804688
153, -12800.121138453484, 2, 45.43310019099954, 3044, 209816,                                             209816, 31.140104293823242, 583.9325561523438
154, -9945.865949749947, 4, 49.853285191000396, 3341, 213157,                                             213157, 30.912521362304688, 578.0477905273438
155, -11268.33513712883, 4, 49.6591429709988, 3342, 216499,                                             216499, 30.233057022094727, 569.8789672851562
156, -6418.247829556465, 2, 15.947181042000011, 1058, 217557,                                             217557, 30.304073333740234, 570.8353271484375
157, -13331.921492815018, 2, 47.25909026500085, 3173, 220730,                                             220730, 29.873157501220703, 568.4820556640625
158, -9922.035331130028, 4, 49.858817330999955, 3329, 224059,                                             224059, 29.61846923828125, 564.5103149414062
159, -8168.767529726028, 2, 25.57822017500075, 1702, 225761,                                             225761, 28.88653564453125, 561.1171264648438
160, -9580.197958827019, 4, 50.46668768000018, 3383, 229144,                                             229144, 29.169363021850586, 556.90625
161, -9491.49810886383, 4, 49.73883949100127, 3321, 232465,                                             232465, 28.599912643432617, 552.8740844726562
162, -2032.3187056779861, 1, 26.188433432998863, 1747, 234212,                                             234212, 28.380220413208008, 548.4995727539062
163, -10068.795587539673, 4, 50.245668083000055, 3358, 237570,                                             237570, 27.941097259521484, 544.7247924804688
164, 1112.2575372457504, 1, 9.128037398999368, 590, 238160,                                             238160, 28.13599967956543, 542.3924560546875
165, -10472.241670191288, 2, 29.79862519800008, 1996, 240156,                                             240156, 27.534854888916016, 538.5306396484375
166, -8263.320610165596, 2, 20.766025824999815, 1371, 241527,                                             241527, 27.37237548828125, 537.7302856445312
167, -11295.785341084003, 4, 50.26770767900052, 3376, 244903,                                             244903, 27.471439361572266, 537.4904174804688
168, -8184.164674162865, 2, 27.384931652999512, 1799, 246702,                                             246702, 27.726919174194336, 535.6676025390625
169, -7781.340091347694, 2, 13.150694856998598, 870, 247572,                                             247572, 27.621471405029297, 535.7689819335938
170, -14406.717445850372, 4, 49.643635275000634, 3315, 250887,                                             250887, 27.641124725341797, 532.730224609375
171, -7026.923774063587, 2, 25.289481277999585, 1686, 252573,                                             252573, 26.939592361450195, 531.3743286132812
172, -7843.320163190365, 2, 25.17778005600121, 1667, 254240,                                             254240, 27.619958877563477, 531.4613647460938
173, -10654.49132680893, 4, 50.05887582499963, 3319, 257559,                                             257559, 27.32695198059082, 525.8734130859375
174, -11601.986750125885, 4, 49.461640006999005, 3309, 260868,                                             260868, 26.93984603881836, 522.4951782226562
175, -8412.947701692581, 2, 30.589300210000147, 2026, 262894,                                             262894, 26.846446990966797, 520.1859130859375
176, -3680.554595887661, 1, 20.95972646900009, 1377, 264271,                                             264271, 26.909748077392578, 517.5208129882812
177, -15345.636299073696, 2, 38.836725851000665, 2597, 266868,                                             266868, 26.662931442260742, 514.5341186523438
178, -12451.66025930643, 4, 49.67027751900059, 3321, 270189,                                             270189, 26.663742065429688, 515.1605224609375
179, -12650.115556299686, 2, 33.20266058099878, 2197, 272386,                                             272386, 26.651599884033203, 512.7202758789062
180, -6839.611888229847, 2, 22.985121366000385, 1530, 273916,                                             273916, 26.4803466796875, 512.6104125976562
181, -10565.212650418282, 4, 50.73606774399923, 3373, 277289,                                             277289, 26.238182067871094, 509.03204345703125
182, -7356.369530200958, 2, 24.576740552000047, 1612, 278901,                                             278901, 26.132591247558594, 505.7879943847656
183, -10883.357255220413, 4, 50.44676731599975, 3356, 282257,                                             282257, 25.797290802001953, 503.8783264160156
184, -10048.245384812355, 4, 50.46067993700126, 3361, 285618,                                             285618, 25.810382843017578, 501.98590087890625
185, -8025.176769733429, 3, 25.98783956099942, 1701, 287319,                                             287319, 25.25623893737793, 501.4924011230469
186, -6421.683016717434, 3, 20.560052050001104, 1355, 288674,                                             288674, 25.339805603027344, 501.1546630859375
187, -8734.543746113777, 3, 25.988238572999762, 1723, 290397,                                             290397, 25.56413459777832, 498.0780944824219
188, -10287.163775384426, 2, 41.42993463700077, 2741, 293138,                                             293138, 25.894094467163086, 498.4599609375
189, -8344.280757904053, 2, 19.37091921299907, 1282, 294420,                                             294420, 25.421812057495117, 496.572265625
190, -7128.6065863370895, 3, 22.16705559299953, 1461, 295881,                                             295881, 25.44523048400879, 496.27813720703125
191, -6835.5150862932205, 2, 21.069906070000798, 1402, 297283,                                             297283, 25.855533599853516, 493.4547424316406
192, -13358.074865162373, 2, 49.262349706999885, 3240, 300523,                                             300523, 25.579851150512695, 494.4404602050781
193, -11298.581220149994, 4, 49.05348892599977, 3260, 303783,                                             303783, 25.2259464263916, 491.3951416015625
194, -10883.86329561472, 4, 49.85316089799926, 3296, 307079,                                             307079, 24.977460861206055, 486.5802917480469
195, -6422.161159515381, 3, 21.585657266001363, 1428, 308507,                                             308507, 25.076183319091797, 487.4683532714844
196, -6597.0094130039215, 2, 13.738294024000425, 890, 309397,                                             309397, 25.329187393188477, 487.1650695800781
197, -9475.027557373047, 4, 50.44955043899972, 3339, 312736,                                             312736, 25.053707122802734, 484.6523742675781
198, -9784.805032134056, 2, 35.00506407800094, 2310, 315046,                                             315046, 24.94267463684082, 485.0083923339844
199, -9820.957327008247, 2, 37.62041905800106, 2478, 317524,                                             317524, 24.95282554626465, 483.3908386230469
200, -3495.0320897102356, 2, 5.516425039999376, 345, 317869,                                             317869, 24.387521743774414, 485.50860595703125
201, -3876.5256394147873, 2, 5.2725100930001645, 345, 318214,                                             318214, 24.868181228637695, 483.3456115722656
202, -11685.447682797909, 4, 49.85657362399979, 3285, 321499,                                             321499, 24.956623077392578, 482.3069152832031
203, -10372.855009436607, 4, 50.0608061260009, 3287, 324786,                                             324786, 24.88779640197754, 480.98406982421875
204, -7193.571939706802, 2, 24.77810063600009, 1627, 326413,                                             326413, 24.50884437561035, 477.16241455078125
205, -10731.726395726204, 4, 49.65579848699963, 3288, 329701,                                             329701, 24.498178482055664, 476.7082824707031
206, -7411.853578448296, 3, 23.164502182000433, 1515, 331216,                                             331216, 24.31012535095215, 475.2351379394531
207, -7102.948526859283, 2, 23.783882543999425, 1564, 332780,                                             332780, 24.036401748657227, 473.97576904296875
208, -11835.207084059715, 4, 49.65143902499949, 3274, 336054,                                             336054, 24.21768569946289, 473.787109375
209, -9995.410507798195, 4, 49.66115050500048, 3279, 339333,                                             339333, 24.177888870239258, 472.84857177734375
210, -9774.357635259628, 4, 49.66765543099973, 3276, 342609,                                             342609, 24.26603126525879, 467.6598815917969
211, -6023.539300620556, 2, 18.632138684000893, 1209, 343818,                                             343818, 23.700918197631836, 467.1702880859375
212, -6513.574254453182, 2, 23.98468571400008, 1575, 345393,                                             345393, 23.24065399169922, 465.24969482421875
213, -9040.047101438046, 4, 49.64713849799955, 3266, 348659,                                             348659, 23.530792236328125, 465.4686584472656
214, -3877.357302427292, 2, 6.1248249060008675, 381, 349040,                                             349040, 23.200515747070312, 467.3722229003906
215, -8395.863012492657, 3, 23.9912697460004, 1577, 350617,                                             350617, 23.639421463012695, 462.22509765625
216, -9198.822465956211, 4, 49.85507906699968, 3271, 353888,                                             353888, 23.302310943603516, 461.2984924316406
217, -7949.780905842781, 3, 22.16852211600053, 1448, 355336,                                             355336, 23.219568252563477, 459.8982238769531
218, -6645.7938458919525, 3, 21.78037159700034, 1433, 356769,                                             356769, 23.336883544921875, 459.58270263671875
219, -6592.65678191185, 3, 21.56370046200027, 1401, 358170,                                             358170, 23.25812339782715, 457.137451171875
220, -6961.450276494026, 3, 22.77941341299993, 1491, 359661,                                             359661, 23.025779724121094, 455.7412109375
221, -10148.457575798035, 4, 49.71749877500042, 3259, 362920,                                             362920, 23.063650131225586, 456.5413818359375
222, -9672.828270673752, 4, 49.661461663999944, 3267, 366187,                                             366187, 23.107879638671875, 454.9746398925781
223, -6624.077670454979, 3, 21.15995182000006, 1376, 367563,                                             367563, 22.360078811645508, 454.76983642578125
224, -11815.826533138752, 4, 50.664749960000336, 3312, 370875,                                             370875, 22.882816314697266, 453.5473327636719
225, -9813.949422895908, 4, 49.85466481500043, 3262, 374137,                                             374137, 22.692161560058594, 450.1340026855469
226, -6361.070294260979, 2, 19.771197886000664, 1296, 375433,                                             375433, 22.560373306274414, 450.088623046875
227, -10500.330652475357, 3, 39.82345342700137, 2581, 378014,                                             378014, 22.367206573486328, 446.81591796875
228, -8670.054247498512, 2, 21.762928438000017, 1409, 379423,                                             379423, 22.277647018432617, 445.7729187011719
229, -3287.516036450863, 2, 5.733411653000076, 369, 379792,                                             379792, 21.931089401245117, 447.1003112792969
230, -3713.3087542057037, 2, 5.313072843000555, 327, 380119,                                             380119, 22.43851089477539, 448.8506164550781
231, -5710.5532440543175, 2, 21.263981800999318, 1390, 381509,                                             381509, 21.91655158996582, 445.9832763671875
232, 980.958634018898, 1, 10.330127256000196, 661, 382170,                                             382170, 21.779136657714844, 444.9587707519531
233, -791.2992235720158, 1, 20.168977402001474, 1309, 383479,                                             383479, 22.286029815673828, 445.0906677246094
234, -4354.612384676933, 2, 17.167725670000436, 1128, 384607,                                             384607, 22.311628341674805, 444.92974853515625
235, -4579.196454524994, 2, 10.732967509000446, 679, 385286,                                             385286, 22.481956481933594, 445.13507080078125
236, 2252.0262177586555, 1, 4.114013225000235, 254, 385540,                                             385540, 23.279829025268555, 441.72613525390625
237, 1698.804391413927, 1, 9.533499638999274, 608, 386148,                                             386148, 22.807661056518555, 442.56475830078125
238, -4492.031595945358, 2, 8.128175767000357, 519, 386667,                                             386667, 22.74354362487793, 444.6058044433594
239, 1111.597749710083, 1, 10.5461368139986, 678, 387345,                                             387345, 22.469575881958008, 444.2630310058594
240, -4925.118883550167, 2, 16.35153601300044, 1052, 388397,                                             388397, 22.122440338134766, 443.241943359375
241, -7399.1410809755325, 3, 21.64725589400041, 1405, 389802,                                             389802, 22.408924102783203, 443.2886962890625
242, -8643.083801746368, 2, 24.775138823000816, 1613, 391415,                                             391415, 22.396930694580078, 440.35321044921875
243, -3502.9975876808167, 3, 8.737487247999525, 561, 391976,                                             391976, 22.43641471862793, 440.1554260253906
244, -7445.9451494812965, 3, 14.55005658600021, 936, 392912,                                             392912, 21.61145782470703, 438.637451171875
245, -8806.5767878294, 2, 24.99123793599938, 1642, 394554,                                             394554, 22.11155128479004, 442.0361633300781
246, -8097.778670787811, 2, 20.77515360899997, 1354, 395908,                                             395908, 22.288005828857422, 441.1707763671875
247, -6852.7335394620895, 2, 18.15776959499999, 1169, 397077,                                             397077, 22.231943130493164, 442.4967041015625
248, -3164.2140505313873, 2, 5.315517965000254, 323, 397400,                                             397400, 22.812379837036133, 443.46484375
249, -3459.6494323015213, 3, 9.13737962400046, 560, 397960,                                             397960, 22.909664154052734, 442.1321105957031
250, -6059.40812587738, 3, 15.13783539600081, 948, 398908,                                             398908, 22.381704330444336, 441.214599609375
251, -3911.336314201355, 2, 8.628440538001087, 531, 399439,                                             399439, 22.543712615966797, 439.31640625
252, -8770.02593588829, 4, 49.65547079499993, 3258, 402697,                                             402697, 22.381591796875, 439.95550537109375
253, -3923.593202829361, 2, 8.92514286900041, 563, 403260,                                             403260, 22.235925674438477, 440.40362548828125
254, -7035.3877521157265, 2, 24.980875602001106, 1626, 404886,                                             404886, 22.360994338989258, 437.5414733886719
